com.sprhibrad/sprhibrad-generator 108
com.rometools/rome 122
com.rometools/rome-utils 8
com.rometools/rome-propono 73
com.rometools/rome-parent
com.rometools/rome-osgi-test 0
com.rometools/rome-opml 11
com.rometools/rome-modules 243
com.rometools/rome-fetcher 17
com.rometools/rome-certiorem 52
com.rometools/rome-certiorem-webapp
com.intelligt.modbus/jlibmodbus 202
com.ingenico.connect.gateway/connect-sdk-java 473
com.hianzuo.android/LibSpring
com.google.apis/google-api-services-toolresults 34
com.github.pengrad/java-telegram-bot-api 243
com.github.michaelruocco/embedded-mysql-plugin 12
com.github.michael-rapp/android-util
com.github.michael-rapp/android-material-views
com.github.michael-rapp/android-material-validation
com.github.leanframeworks/propertiesframework-swing 89
com.github.leanframeworks/propertiesframework-parent
com.github.leanframeworks/propertiesframework-experimental 121
com.github.leanframeworks/propertiesframework-core 114
com.github.frtu.smartscan/spring-analyzer 13
com.github.frtu.smartscan/smartscan-pom
com.flybotix/highfrequencyrobots 59
com.fimtra/clearconnect 503
com.coherentlogic.geofred.client/geofred-client-core 15
com.coherentlogic.fred/client
com.coherentlogic.fraser.client/fraser-client-core 162
com.coherentlogic/enterprise-data-adapter
com.coherentlogic.coherent.data.adapter.openfigi/client
com.cjyong.base/argorithms 2
com.cinchapi/concourse-plugin-core 75
com.cinchapi/concourse-import 14
com.cinchapi/concourse-ete-test-core 20
com.cinchapi/concourse-driver-java 7414
com.cinchapi/concourse-cli 5
com.celarli.commons/vfs-gcs 7
com.atomikos/transactions 79
com.atomikos/transactions-tcc-rest 13
com.atomikos/transactions-tcc-rest-api 3
com.atomikos/transactions-osgi 289
com.atomikos/transactions-jta 64
com.atomikos/transactions-jndi-provider 4
com.atomikos/transactions-jms 32
com.atomikos/transactions-jdbc 29
com.atomikos/transactions-eclipselink 2
com.atomikos/transactions-api 48
com.atomikos/atomikos-util 36
com.atomikos/atomikos-transactions-essentials
com.atomikos/atomikos-parent
com.atomikos/ate
com.arakelian/docker-junit-rule 3478
com.abubusoft/kripton 44
com.abubusoft/kripton-sqlite-test-library 116
com.abubusoft/kripton-retrofit-converter 9
com.abubusoft/kripton-processor 597
com.abubusoft/kripton-parent
com.abubusoft/kripton-dataformat-yaml 1
com.abubusoft/kripton-dataformat-smile 1
com.abubusoft/kripton-dataformat-properties 1
com.abubusoft/kripton-dataformat-cbor 1
com.abubusoft/kripton-core 108
com.abubusoft/kripton-android-library 0
ch.jalu/injector 45
ch.jalu/injector-parent
ch.jalu/injector-extras 5
ch.epfl.lamp/scalap 0
ch.epfl.lamp/scala-reflect 0
ch.epfl.lamp/scala-library 0
ch.epfl.lamp/scala-compiler 0
ch.epfl.lamp/dotty-sbt-bridge 11
ch.epfl.lamp/dotty-interfaces 7
at.ipsquare/ipsquare-commons-core 14
uk.ac.ebi.interpro.scan/server
