de.deepamehta/deepamehta-iconpicker
org.igniterealtime.smack/smack-resolver-dnsjava
com.tqdev.metrics/metrics-spring-webmvc
com.tqdev.metrics/metrics-jvm
com.abubusoft/kripton-dataformat-smile
uk.ac.ebi.interpro.scan/interproscan-util
org.realityforge.replicant/replicant-shared
org.jtransfo/jtransfo-hibernate
org.fujion/fujion-angular-core
de.devland.esperandro/esperandro-jackson-addon
com.sdl.delivery.ish/webapp-backend
com.componentcorp.xml.validation/relaxng-compact
org.rapidpm.microservice/rapidpm-microservice-modules-optionals-admin
org.eclipse.dirigible/dirigible-api-messaging
org.commonjava.indy/indy-test-utils
org.commonjava.indy/indy-promote-jaxrs
org.commonjava.indy/indy-koji-jaxrs
org.commonjava.indy/indy-ftests-diagnostics
org.commonjava.indy/indy-db-memory
net.winterly.rxjersey/dropwizard
io.pivotal.spring.cloud/spring-cloud-vault-cloudfoundry-connector
com.codingapi/tx-plugins-nodb
ca.islandora.alpaca/islandora-http-client
org.nutz/nutzboot-starter-weixin
org.nutz/nutzboot-starter-nutz-dao
io.honnix/kheos-client
io.gravitee.gateway.services/gravitee-gateway-services-localregistry
io.gravitee.gateway/gravitee-gateway-env
io.dropwizard/dropwizard-forms
com.networknt/rpc-security
com.networknt/header
cn.patterncat/rest-common
org.minijax/minijax-swagger
de.dentrassi.flow/flow-component-csv
com.sdl.delivery/iq-query-client-rest
com.butor/butor-mule-common
org.xwiki.rendering/xwiki-rendering-syntax-jspwiki
org.xwiki.rendering/xwiki-rendering-macro-quote
org.openehealth.ipf.platform-camel/ipf-platform-camel-cda
org.molgenis/molgenis-platform-integration-tests
org.apereo.cas/cas-server-webapp-session-mongo
org.apereo.cas/cas-server-support-themes
org.apereo.cas/cas-server-support-otp-mfa
org.apereo.cas/cas-server-support-geolocation
org.apereo.cas/cas-server-support-captcha
org.apereo.cas/cas-server-core-logging-config-cloudwatch
org.apereo.cas/cas-server-core-api
net.spals.appbuilder/spals-appbuilder-message-core-test
com.floragunn/dlic-search-guard-module-kibana-multitenancy
com.github.delegacy.youngbot/young-bot-server-spring-boot-autoconfigure
ro.pippo/pippo-spring
ro.pippo/pippo-session-hazelcast
ro.pippo/pippo-metrics-influxdb
ro.pippo/pippo-guice
com.github.nyholmniklas/arithmetic
org.restcomm.smpp/smpp-cli
com.stimulsoft/stimulsoft-reports-libs
com.couchbase.lite/couchbase-lite-java-sqlcipher
pl.chilldev.commons/commons-data
com.netflix.genie/genie-test
com.expedia.www/haystack-agent-kafka-dispatcher
org.nutz/nutz-plugins-sqlmanager
org.minijax/minijax-eclipselink
org.lable.oss.dynamicconfig/config-util
net.redpipe/redpipe-fast-classpath-scanner
com.intuit.wasabi/wasabi-main
com.facebook.presto/presto-server
org.restcomm.camelgw/camelgw-cli
org.jxmpp/jxmpp-repl
io.zipkin.aws/zipkin-reporter-xray-udp
com.sparkjava/spark-template-velocity
com.sparkjava/spark-template-mvel
com.sparkjava/spark-template-jinjava
com.sparkjava/spark-template-freemarker
com.heroku.api/heroku-json-jackson
com.github.emc-mongoose/mongoose-storage-driver-nio-mock
co.cask.cdap/cdap-spi
co.cask.cdap/cdap-kms
org.swisspush.gateleen/gateleen-packing
nl.basjes.parse.useragent/yauaa-hive
com.github.slugify/slugify
com.erudika/para-client
io.zipkin.sparkstreaming/zipkin-sparkstreaming-consumer-storage
org.jetbrains.xodus/xodus-compress
org.asynchttpclient/async-http-client-example
io.zipkin.brave/brave-core-spring
com.raskasa.metrics/sample
org.eobjects.metamodel-extras/MetaModel-extras-access
org.opensingular/singular-flow-form
net.javacrumbs.shedlock/shedlock-provider-jdbc-internal
it.unibo.alchemist/alchemist-time
com.hurence.logisland/logisland-cache-service-api
com.canoo.dolphin-platform/dolphin-platform-security-server-javaee
org.kill-bill.billing.plugin/killbill-plugin-api-currency
org.antframework.configcenter/configcenter-assemble
com.rabidgremlin/mutters-fasttext-intent
com.uber.rib/rib-debut-utils
org.pantsbuild/pants-runner
org.kantega.respiro/respiro-ui-metrics-plugin
org.kantega.respiro/respiro-mongodb-test-modifier-plugin
com.github.albfernandez/pmd-java-safenames
com.airlenet/play-theme-uikit-custom
org.teiid/teiid-eclipselink-platform
br.com.jbugbrasil.bot/welcome-message-plugin
br.com.jbugbrasil.bot/ping-service
