de.deepamehta/deepamehta-caching
org.igniterealtime.smack/smack-compression-jzlib
com.tqdev.metrics/metrics-spring-security
com.tqdev.metrics/metrics-jmx
com.abubusoft/kripton-dataformat-properties
org.sejda/sejda-optional-fonts
org.realityforge.replicant/replicant-client-qa-support
org.fujion/fujion-themes
io.gravitee.am.gateway.standalone/gravitee-am-gateway-standalone-bootstrap
de.devland.esperandro/esperandro-gson-addon
com.nimbusds/jgroups-dynamodb-ping
org.rapidpm.microservice/rapidpm-microservice-modules-optionals-service
org.eclipse.dirigible/dirigible-runtime-theme
org.eclipse.dirigible/dirigible-api-indexing
org.commonjava.indy/indy-test-providers-core
org.commonjava.indy/indy-promote-client-java
org.commonjava.indy/indy-koji-client-java
org.commonjava.indy/indy-diagnostics-jaxrs
nz.net.osnz.common/common-thymeleaf
io.pivotal.spring.cloud/spring-cloud-vault-localconfig-connector
info.bitrich.xchange-stream/service-wamp
ca.islandora.alpaca/islandora-indexing-triplestore
ca.islandora.alpaca/islandora-connector-broadcast
org.nutz/nutzboot-starter-swagger
org.nutz/nutzboot-starter-disque
io.gravitee.management.standalone/gravitee-management-api-standalone-bootstrap
io.gravitee.gateway.security/gravitee-gateway-security-keyless
io.dropwizard/dropwizard-metrics-graphite
io.dropwizard/dropwizard-assets
com.networknt/openapi-security
com.networknt/graphql-security
uy.kohesive.elasticsearch/elasticsearch-lang-kotlin-client
org.minijax/minijax-liquibase
com.yahoo.parsec/parsec-logging
com.distelli.run/GuiceRunner
org.xwiki.rendering/xwiki-rendering-transformation-wikiword
org.xwiki.rendering/xwiki-rendering-syntax-html
org.xwiki.rendering/xwiki-rendering-macro-comment
org.openehealth.ipf.modules/ipf-modules-cda-core
org.molgenis/molgenis-catalogue
org.apereo.cas/cas-server-webapp-session-hazelcast
org.apereo.cas/cas-server-support-saml-core
org.apereo.cas/cas-server-support-oauth-core
org.apereo.cas/cas-server-support-eureka-client
org.apereo.cas/cas-server-core-validation
org.apereo.cas/cas-server-core-events
org.apereo.cas/cas-server-core-api-monitor
com.yahoo.elide/elide-datastore-inmemorydb
name.remal/public-data
ro.pippo/pippo-weld
ro.pippo/pippo-session-jdbc
ro.pippo/pippo-sasscompiler
ro.pippo/pippo-metrics-graphite
org.easybatch/easybatch-validation
org.springframework.build.test/sgbcs-core
org.codelibs.fess/fess-crawler-lasta
com.intuit.karate/karate-testng
systems.manifold/manifold-ext-test
org.jboss.arquillian.test/arquillian-test-api
com.github.hekonsek/vertx-pipes-function-elastisearch
com.expedia.www/haystack-agent-file-config-provider
org.nutz/nutz-integration-swagger
org.lable.oss.dynamicconfig.serialization/dynamic-config-serialization-json
org.jmxtrans/jmxtrans-output-velocity
